no_of_dependents,income_annum,loan_amount,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,scaled_loan_term
3,1400000,3800000,840,1700000,200000,5300000,1500000,8.333333333333334
4,7600000,20000000,691,5000000,8700000,23400000,11200000,13.88888888888889
4,3900000,10000000,530,10900000,200000,12300000,1900000,9.444444444444445
3,4500000,16400000,533,1800000,5600000,12200000,3900000,7.222222222222222
0,6500000,24100000,488,3300000,6000000,22900000,9700000,15.0
0,2000000,5200000,400,1900000,1500000,5000000,1500000,13.88888888888889
4,6000000,15800000,593,6800000,4800000,13200000,6400000,13.88888888888889
0,6900000,21300000,845,17400000,5600000,21400000,6600000,13.88888888888889
5,6000000,12100000,848,13900000,4800000,18000000,3600000,15.0
5,5600000,20500000,873,5500000,9500000,19400000,7800000,8.333333333333334
4,6300000,21900000,538,9600000,5400000,19300000,7800000,9.444444444444445
0,500000,1400000,551,900000,600000,1100000,300000,5.0
5,6500000,15800000,301,9200000,9900000,17400000,7100000,12.777777777777779
2,4000000,9200000,784,3200000,600000,13000000,4900000,12.777777777777779
0,5100000,14500000,559,11000000,1100000,12300000,6000000,11.666666666666668
1,6300000,17800000,770,6000000,3000000,17000000,3200000,10.555555555555555
4,2400000,9400000,871,3700000,300000,7100000,3500000,5.0
4,4700000,13700000,600,12100000,8400000,17700000,5000000,11.666666666666668
0,200000,400000,594,500000,0,400000,100000,6.111111111111111
1,5200000,10500000,317,3000000,8000000,19300000,5300000,15.0
2,4700000,14600000,597,8200000,6000000,14100000,6800000,15.0
0,1100000,3300000,482,2800000,300000,2900000,1600000,9.444444444444445
0,1400000,5100000,890,4100000,1900000,5200000,1900000,7.222222222222222
5,5600000,14500000,457,6900000,7800000,20600000,4600000,9.444444444444445
0,7900000,26200000,845,14200000,14700000,27400000,6300000,13.88888888888889
2,2300000,5500000,629,4600000,2900000,7000000,1900000,12.777777777777779
1,3700000,8700000,885,6200000,3500000,10900000,2600000,15.0
5,2000000,6100000,407,1900000,1900000,4600000,2000000,5.0
0,7000000,24600000,542,6400000,2600000,24500000,4700000,7.222222222222222
5,5500000,18800000,603,3300000,700000,21000000,5000000,10.555555555555555
3,8000000,25600000,337,8800000,500000,18900000,9800000,7.222222222222222
5,4100000,9000000,581,6600000,1500000,11300000,3400000,7.222222222222222
5,1300000,3100000,826,200000,1700000,5100000,1400000,12.777777777777779
5,8000000,29100000,658,10600000,8600000,28800000,4600000,6.111111111111111
0,300000,700000,779,200000,0,1000000,400000,12.777777777777779
1,900000,2600000,346,400000,700000,2900000,900000,6.111111111111111
1,7500000,16000000,541,16300000,4500000,22400000,5100000,9.444444444444445
4,3800000,8200000,309,10900000,3900000,10200000,3300000,6.111111111111111
2,5200000,17200000,565,3500000,1300000,20000000,6300000,10.555555555555555
1,7000000,25600000,420,15100000,11500000,15300000,8700000,7.222222222222222
4,2700000,8100000,325,5000000,800000,9900000,3400000,6.111111111111111
2,8000000,31200000,553,6800000,3500000,21000000,10300000,8.333333333333334
0,500000,1100000,479,1500000,500000,1800000,600000,13.88888888888889
0,1600000,5300000,733,400000,2100000,5500000,1100000,6.111111111111111
5,4400000,11800000,634,5900000,7300000,15200000,4300000,15.0
3,3400000,8500000,584,4200000,4700000,6800000,3700000,7.222222222222222
1,800000,3000000,338,900000,1000000,2600000,400000,6.111111111111111
1,400000,1600000,784,800000,700000,700000,100000,12.777777777777779
0,3600000,13400000,589,3600000,0,11200000,4000000,7.222222222222222
